timestamp_inicio,periodo,ramal,movimiento_rilsa,clase,conteo
2025-08-13 06:00:00,mañana,E,2,car,27
2025-08-13 06:00:00,mañana,E,2,motorcycle,29
2025-08-13 06:00:00,mañana,E,2,person,5
2025-08-13 06:00:00,mañana,E,5,bus,1
2025-08-13 06:00:00,mañana,E,5,car,59
2025-08-13 06:00:00,mañana,E,5,motorcycle,80
2025-08-13 06:00:00,mañana,E,5,person,6
2025-08-13 06:00:00,mañana,E,5,truck,2
2025-08-13 06:00:00,mañana,E,8,car,10
2025-08-13 06:00:00,mañana,E,8,motorcycle,11
2025-08-13 06:00:00,mañana,E,8,person,2
2025-08-13 06:00:00,mañana,E,8,tv,1
2025-08-13 06:00:00,mañana,E,10,backpack,1
2025-08-13 06:00:00,mañana,E,10,car,58
2025-08-13 06:00:00,mañana,E,10,motorcycle,63
2025-08-13 06:00:00,mañana,E,10,person,27
2025-08-13 06:00:00,mañana,E,10,truck,2
2025-08-13 06:00:00,mañana,E,10,tv,1
2025-08-13 06:00:00,mañana,N,7,motorcycle,4
2025-08-13 06:00:00,mañana,N,10,car,36
2025-08-13 06:00:00,mañana,N,10,motorcycle,8
2025-08-13 06:00:00,mañana,N,10,person,1
2025-08-13 06:00:00,mañana,O,1,car,2
2025-08-13 06:00:00,mañana,O,1,motorcycle,2
2025-08-13 06:00:00,mañana,O,4,car,49
2025-08-13 06:00:00,mañana,O,4,motorcycle,28
2025-08-13 06:00:00,mañana,O,4,person,15
2025-08-13 06:00:00,mañana,O,4,truck,3
2025-08-13 06:00:00,mañana,O,7,car,8
2025-08-13 06:00:00,mañana,O,7,motorcycle,7
2025-08-13 06:00:00,mañana,O,10,car,28
2025-08-13 06:00:00,mañana,O,10,motorcycle,30
2025-08-13 06:00:00,mañana,O,10,person,12
2025-08-13 06:00:00,mañana,O,10,truck,2
2025-08-13 06:00:00,mañana,S,3,car,16
2025-08-13 06:00:00,mañana,S,3,motorcycle,11
2025-08-13 06:00:00,mañana,S,3,person,1
2025-08-13 06:00:00,mañana,S,3,truck,1
2025-08-13 06:00:00,mañana,S,6,car,4
2025-08-13 06:00:00,mañana,S,6,motorcycle,2
2025-08-13 06:00:00,mañana,S,9,bicycle,2
2025-08-13 06:00:00,mañana,S,9,car,47
2025-08-13 06:00:00,mañana,S,9,motorcycle,38
2025-08-13 06:00:00,mañana,S,9,truck,1
2025-08-13 06:00:00,mañana,S,10,bus,1
2025-08-13 06:00:00,mañana,S,10,car,72
2025-08-13 06:00:00,mañana,S,10,motorcycle,14
2025-08-13 06:00:00,mañana,S,10,person,3
2025-08-13 06:15:00,mañana,E,2,car,38
2025-08-13 06:15:00,mañana,E,2,fire hydrant,1
2025-08-13 06:15:00,mañana,E,2,motorcycle,28
2025-08-13 06:15:00,mañana,E,2,person,4
2025-08-13 06:15:00,mañana,E,2,truck,2
2025-08-13 06:15:00,mañana,E,5,bicycle,2
2025-08-13 06:15:00,mañana,E,5,bus,1
2025-08-13 06:15:00,mañana,E,5,car,84
2025-08-13 06:15:00,mañana,E,5,motorcycle,94
